2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:50 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6878,Hyde Park,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,118,8.48
SA,179,Adelaide,6878,Hyde Park,999,Informal,Informal,999,N,N,,Informal,22,-0.25
SA,179,Adelaide,7067,Keswick,29106,GUY,Sophie,1,N,N,GRN,The Greens,103,2.43
SA,179,Adelaide,7067,Keswick,29059,RIVISH,Adrian,2,N,N,FFP,Family First,16,0.28
SA,179,Adelaide,7067,Keswick,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,8,1.11
SA,179,Adelaide,7067,Keswick,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,10,1.39
SA,179,Adelaide,7067,Keswick,29552,COLOVIC,David,5,N,N,LP,Liberal,240,-4.83
SA,179,Adelaide,7067,Keswick,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,245,-9.78
SA,179,Adelaide,7067,Keswick,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,97,13.49
SA,179,Adelaide,7067,Keswick,999,Informal,Informal,999,N,N,,Informal,28,-1.66
SA,179,Adelaide,6668,Kilburn,29106,GUY,Sophie,1,N,N,GRN,The Greens,124,1.66
SA,179,Adelaide,6668,Kilburn,29059,RIVISH,Adrian,2,N,N,FFP,Family First,48,-0.84
SA,179,Adelaide,6668,Kilburn,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,22,1.33
SA,179,Adelaide,6668,Kilburn,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,11,0.66
SA,179,Adelaide,6668,Kilburn,29552,COLOVIC,David,5,N,N,LP,Liberal,255,-8.7
SA,179,Adelaide,6668,Kilburn,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,986,-2.03
SA,179,Adelaide,6668,Kilburn,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,213,12.84
SA,179,Adelaide,6668,Kilburn,999,Informal,Informal,999,N,N,,Informal,122,-0.08
SA,179,Adelaide,12086,Kilkenny North (Adelaide),29106,GUY,Sophie,1,N,N,GRN,The Greens,9,1.44
SA,179,Adelaide,12086,Kilkenny North (Adelaide),29059,RIVISH,Adrian,2,N,N,FFP,Family First,7,-0.99
SA,179,Adelaide,12086,Kilkenny North (Adelaide),28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,1,0.34
SA,179,Adelaide,12086,Kilkenny North (Adelaide),29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,7,2.39
SA,179,Adelaide,12086,Kilkenny North (Adelaide),29552,COLOVIC,David,5,N,N,LP,Liberal,52,-6.19
SA,179,Adelaide,12086,Kilkenny North (Adelaide),29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,181,-4.51
SA,179,Adelaide,12086,Kilkenny North (Adelaide),29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,36,12.29
